Date,H2_ppm,CH4_ppm,C2H2_ppm,C2H4_ppm,C2H6_ppm,CO_ppm,CO2_ppm,O2_ppm,N2_ppm,TDCG,Status
2016-01-20,35,22,0,12,15,120,680,17500,51000,204,Normal
2016-07-25,42,28,0,15,18,145,720,17200,50800,248,Normal
2017-01-22,48,32,0,18,22,168,785,16900,50500,288,Caution
2017-07-28,55,38,1,22,26,185,845,16600,50200,327,Caution
2018-01-25,62,45,1,28,32,205,920,16300,49900,373,Warning
2018-07-30,68,52,1,32,36,225,985,16000,49600,414,Warning
2019-02-02,75,58,2,38,42,245,1050,15700,49300,460,Warning
2019-08-05,82,65,2,42,48,265,1120,15400,49000,504,Warning
2020-02-08,88,72,2,48,52,280,1185,15100,48700,542,Warning
2020-08-12,95,78,2,52,58,295,1250,14800,48400,580,Warning
2021-02-15,102,85,2,58,62,315,1320,14500,48100,624,Warning
2021-08-18,108,92,2,62,68,332,1385,14200,47800,664,Warning
2022-02-22,115,98,2,68,72,350,1420,13900,47500,705,Warning
2022-08-25,118,102,2,72,75,365,1450,13600,47200,734,Warning
2023-03-01,122,105,2,75,78,375,1480,13300,46900,757,Warning
2023-09-05,125,108,2,78,82,382,1500,13000,46600,777,Warning
2024-03-08,128,112,2,82,85,392,1520,12700,46300,801,Warning
2024-09-12,130,115,2,85,88,398,1540,12400,46000,818,Warning
2025-03-15,132,118,2,88,92,405,1560,12100,45700,837,Warning
2025-09-20,125,78,2,72,75,285,1450,12800,46200,637,Warning
